YEAR,GRADE,family,n,loglik,aic,bic,tau,rho,df,lambda_lower,lambda_upper,converged,best_aic
2023,3,gaussian,8714,3985.3043,-7968.6087,-7961.536,0.5641,0.7595,,0,0,TRUE,FALSE
2024,3,t,9074,4290.4987,-8576.9974,-8562.7711,0.5739,,37.0233,0.0385,0.0385,TRUE,FALSE
2024,3,frank,9074,4588.9328,-9175.8656,-9168.7524,0.6082,0.8089,,0,0,TRUE,TRUE
2024,3,gaussian,9074,4283.1726,-8564.3452,-8557.232,0.5716,0.7672,,0,0,TRUE,FALSE
2025,4,t,9187,3430.6367,-6857.2734,-6843.0223,0.5181,,64.0309,0.0021,0.0021,TRUE,FALSE
2025,4,frank,9187,3636.2516,-7270.5032,-7263.3777,0.5485,0.7485,,0,0,TRUE,TRUE
2025,4,gaussian,9187,3431.6578,-6861.3155,-6854.19,0.5171,0.7093,,0,0,TRUE,FALSE
2026,5,t,7421,2906.2051,-5808.4102,-5794.5861,0.5288,,69.4419,0.0017,0.0017,TRUE,FALSE
2026,5,frank,7421,2985.5503,-5969.1006,-5962.1886,0.5522,0.7525,,0,0,TRUE,TRUE
2026,5,gaussian,7421,2908.7792,-5815.5585,-5808.6464,0.5283,0.7216,,0,0,TRUE,FALSE
2025,3,t,9821,4225.8174,-8447.6348,-8433.2503,0.5509,,58.5908,0.0061,0.0061,TRUE,FALSE
2025,3,frank,9821,4544.6165,-9087.233,-9080.0407,0.5861,0.7873,,0,0,TRUE,TRUE
2025,3,gaussian,9821,4225.3519,-8448.7038,-8441.5115,0.5496,0.7445,,0,0,TRUE,FALSE
2026,4,t,8515,3511.4014,-7018.8029,-7004.7037,0.5406,,71.1054,0.002,0.002,TRUE,FALSE
2026,4,frank,8515,3544.0738,-7086.1476,-7079.098,0.5599,0.7605,,0,0,TRUE,TRUE
2026,4,gaussian,8515,3514.0325,-7026.065,-7019.0154,0.5402,0.7345,,0,0,TRUE,FALSE
2026,3,t,10088,4719.2107,-9434.4214,-9419.9832,0.57,,90.9362,0.0011,0.0011,TRUE,FALSE
2026,3,frank,10088,4906.6823,-9811.3647,-9804.1456,0.5973,0.7984,,0,0,TRUE,TRUE
2026,3,gaussian,10088,4723.8376,-9445.6752,-9438.4561,0.5697,0.7653,,0,0,TRUE,FALSE
