YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient,content
2022,7,WIDA Level 3,2778,0.2247,47.4386,0.0173,MATHEMATICS
2022,7,WIDA Level 4,721,0.1107,70.23,0.061,MATHEMATICS
2022,7,WIDA Level 4.3,744,0.1342,82.0962,0.172,MATHEMATICS
2022,7,WIDA Level 5,135,0.2442,90.1289,0.3111,MATHEMATICS
2022,8,WIDA Level 1,528,0.0376,20.5525,0.0019,MATHEMATICS
2022,8,WIDA Level 2,805,0.0019,25.6262,0.0112,MATHEMATICS
2022,8,WIDA Level 3,2349,0.17,46.7587,0.0213,MATHEMATICS
2022,8,WIDA Level 4,667,0.0734,66.4733,0.0585,MATHEMATICS
2022,8,WIDA Level 4.3,885,0.1264,78.6372,0.1446,MATHEMATICS
2022,8,WIDA Level 5,189,0.104,88.2413,0.3122,MATHEMATICS
2023,3,WIDA Level 1,927,0.0809,12.754,0.0151,MATHEMATICS
2023,3,WIDA Level 2,1531,0.1423,22.7643,0.0516,MATHEMATICS
2023,3,WIDA Level 3,3638,0.2608,49.5236,0.2482,MATHEMATICS
2023,3,WIDA Level 4,948,0.0603,71.2605,0.5527,MATHEMATICS
2023,3,WIDA Level 4.3,1280,0.1491,81.5865,0.7211,MATHEMATICS
2023,3,WIDA Level 5,378,0.126,92.2856,0.9048,MATHEMATICS
2023,4,WIDA Level 1,470,0.0757,9.9248,0.0128,MATHEMATICS
2023,4,WIDA Level 2,656,0.0689,14.5175,0.0198,MATHEMATICS
2023,4,WIDA Level 3,2259,0.2226,30.6752,0.0668,MATHEMATICS
2023,4,WIDA Level 4,1086,0.1177,47.7216,0.186,MATHEMATICS
2023,4,WIDA Level 4.3,2316,0.1586,63.426,0.3532,MATHEMATICS
2023,4,WIDA Level 5,1344,0.1096,80.4008,0.6585,MATHEMATICS
2023,4,WIDA Level 6,251,0.1442,92.5981,0.8805,MATHEMATICS
2023,5,WIDA Level 1,536,0.0896,16.3539,0.0075,MATHEMATICS
2023,5,WIDA Level 2,596,0.0051,15.757,0.0285,MATHEMATICS
2023,5,WIDA Level 3,1908,0.1803,33.0941,0.0383,MATHEMATICS
2023,5,WIDA Level 4,960,0.1088,51.4767,0.0885,MATHEMATICS
2023,5,WIDA Level 4.3,2062,0.1385,64.4701,0.1998,MATHEMATICS
2023,5,WIDA Level 5,1086,0.1072,80.5686,0.4061,MATHEMATICS
2023,5,WIDA Level 6,97,0.1571,92.52,0.6804,MATHEMATICS
2023,6,WIDA Level 1,551,0.0813,16.1722,0.0018,MATHEMATICS
2023,6,WIDA Level 2,970,0.0846,23.5817,0.0113,MATHEMATICS
2023,6,WIDA Level 3,3181,0.2449,50.9292,0.0509,MATHEMATICS
2023,6,WIDA Level 4,756,0.075,73.0926,0.1429,MATHEMATICS
2023,6,WIDA Level 4.3,623,0.163,83.2899,0.3178,MATHEMATICS
2023,6,WIDA Level 5,50,0.1127,95.1337,0.64,MATHEMATICS
2023,7,WIDA Level 1,679,0.0418,20.7794,0,MATHEMATICS
2023,7,WIDA Level 2,967,0.0612,25.0566,0.0083,MATHEMATICS
2023,7,WIDA Level 3,2915,0.2032,49.3693,0.0226,MATHEMATICS
2023,7,WIDA Level 4,761,0.0544,73.197,0.0907,MATHEMATICS
2023,7,WIDA Level 4.3,748,0.152,81.2177,0.1591,MATHEMATICS
2023,7,WIDA Level 5,112,0.1176,94.9871,0.5268,MATHEMATICS
2023,8,WIDA Level 1,702,0.0324,21.5111,0.0028,MATHEMATICS
2023,8,WIDA Level 2,991,0.0855,27.0844,0.0071,MATHEMATICS
2023,8,WIDA Level 3,2657,0.1952,48.6405,0.0384,MATHEMATICS
2023,8,WIDA Level 4,777,0.0346,69.8444,0.103,MATHEMATICS
2023,8,WIDA Level 4.3,851,0.1133,80.4341,0.188,MATHEMATICS
2023,8,WIDA Level 5,124,0.0898,91.8346,0.4919,MATHEMATICS
2024,3,WIDA Level 1,1161,0.1063,13.0324,0.0189,MATHEMATICS
2024,3,WIDA Level 2,1481,0.1095,23.2454,0.05,MATHEMATICS
2024,3,WIDA Level 3,3636,0.2446,49.8952,0.2428,MATHEMATICS
2024,3,WIDA Level 4,1006,0.0685,69.6756,0.5199,MATHEMATICS
2024,3,WIDA Level 4.3,1337,0.1394,81.1134,0.7173,MATHEMATICS
2024,3,WIDA Level 5,423,0.1212,92.6341,0.9054,MATHEMATICS
2024,3,WIDA Level 6,17,,,,MATHEMATICS
2024,4,WIDA Level 1,809,0.0971,10.9548,0.0111,MATHEMATICS
2024,4,WIDA Level 2,859,0.0202,17.6189,0.0221,MATHEMATICS
2024,4,WIDA Level 3,2527,0.2172,33.5596,0.0673,MATHEMATICS
2024,4,WIDA Level 4,1003,0.0842,51.8792,0.1765,MATHEMATICS
2024,4,WIDA Level 4.3,2389,0.1599,66.234,0.347,MATHEMATICS
2024,4,WIDA Level 5,1360,0.1394,82.8156,0.6544,MATHEMATICS
2024,4,WIDA Level 6,258,0.0965,91.9346,0.8876,MATHEMATICS
2024,5,WIDA Level 1,803,0.0799,16.5627,0.0062,MATHEMATICS
2024,5,WIDA Level 2,705,0.0906,20.5768,0.0255,MATHEMATICS
2024,5,WIDA Level 3,1966,0.1811,35.2494,0.0351,MATHEMATICS
2024,5,WIDA Level 4,857,0.0603,51.9745,0.0735,MATHEMATICS
2024,5,WIDA Level 4.3,2095,0.1403,65.3222,0.2014,MATHEMATICS
2024,5,WIDA Level 5,1140,0.158,81.4692,0.4088,MATHEMATICS
2024,5,WIDA Level 6,131,0.1004,93.8426,0.7176,MATHEMATICS
2024,6,WIDA Level 1,876,0.0687,15.0954,0.0034,MATHEMATICS
2024,6,WIDA Level 2,1229,0.1179,26.7351,0.0114,MATHEMATICS
2024,6,WIDA Level 3,3166,0.2334,52.5231,0.0527,MATHEMATICS
2024,6,WIDA Level 4,795,0.0863,73.8866,0.1648,MATHEMATICS
2024,6,WIDA Level 4.3,762,0.1338,82.5043,0.2795,MATHEMATICS
2024,6,WIDA Level 5,83,0.2161,95.0766,0.6265,MATHEMATICS
2024,7,WIDA Level 1,959,0.082,22.2288,0.0021,MATHEMATICS
2024,7,WIDA Level 2,1161,0.0499,27.889,0.0095,MATHEMATICS
2024,7,WIDA Level 3,2797,0.2332,50.6698,0.0318,MATHEMATICS
2024,7,WIDA Level 4,827,0.053,70.6536,0.0955,MATHEMATICS
2024,7,WIDA Level 4.3,898,0.1549,80.8479,0.1748,MATHEMATICS
2024,7,WIDA Level 5,146,0.0579,92.7646,0.4247,MATHEMATICS
2024,8,WIDA Level 1,1062,0.0571,22.4535,0.0047,MATHEMATICS
2024,8,WIDA Level 2,1068,0.0879,28.5798,0.0131,MATHEMATICS
2024,8,WIDA Level 3,2544,0.201,50.4177,0.0366,MATHEMATICS
2024,8,WIDA Level 4,825,0.0199,65.9461,0.0848,MATHEMATICS
2024,8,WIDA Level 4.3,1091,0.1127,77.3853,0.1512,MATHEMATICS
2024,8,WIDA Level 5,227,0.1153,90.0117,0.3789,MATHEMATICS
2025,3,WIDA Level 1,1362,0.1158,13.6313,0.0316,MATHEMATICS
2025,3,WIDA Level 2,1567,0.1253,25.3945,0.0664,MATHEMATICS
2025,3,WIDA Level 3,3671,0.2162,47.9334,0.2245,MATHEMATICS
2025,3,WIDA Level 4,1101,0.0892,67.9935,0.4877,MATHEMATICS
2025,3,WIDA Level 4.3,1636,0.1752,79.2884,0.6877,MATHEMATICS
2025,3,WIDA Level 5,466,0.1778,90.4561,0.9034,MATHEMATICS
2025,3,WIDA Level 6,19,,,,MATHEMATICS
2025,4,WIDA Level 1,768,0.1583,11.3867,0.0195,MATHEMATICS
2025,4,WIDA Level 2,1012,0.0372,18.5377,0.0306,MATHEMATICS
2025,4,WIDA Level 3,2296,0.2032,34.0674,0.0919,MATHEMATICS
2025,4,WIDA Level 4,1043,0.0813,51.6061,0.1755,MATHEMATICS
2025,4,WIDA Level 4.3,2414,0.1393,64.5035,0.338,MATHEMATICS
2025,4,WIDA Level 5,1378,0.1409,80.4443,0.6125,MATHEMATICS
2025,4,WIDA Level 6,272,0.0996,91.4716,0.8456,MATHEMATICS
2025,5,WIDA Level 1,880,0.0739,16.4171,0.0068,MATHEMATICS
2025,5,WIDA Level 2,854,0.0174,23.224,0.0293,MATHEMATICS
2025,5,WIDA Level 3,1964,0.1524,34.9752,0.0377,MATHEMATICS
2025,5,WIDA Level 4,872,0.0696,53.9913,0.0906,MATHEMATICS
2025,5,WIDA Level 4.3,2132,0.1024,65.5507,0.2022,MATHEMATICS
2025,5,WIDA Level 5,1184,0.1217,79.1646,0.386,MATHEMATICS
2025,5,WIDA Level 6,193,0.1859,92.4196,0.6321,MATHEMATICS
2025,6,WIDA Level 1,849,0.1668,15.4468,0.0035,MATHEMATICS
2025,6,WIDA Level 2,1296,0.086,27.5805,0.0139,MATHEMATICS
2025,6,WIDA Level 3,3107,0.2246,52.5624,0.0605,MATHEMATICS
2025,6,WIDA Level 4,814,0.0686,72.8093,0.1744,MATHEMATICS
2025,6,WIDA Level 4.3,762,0.1212,83.4777,0.3228,MATHEMATICS
2025,6,WIDA Level 5,94,0.0488,95.2721,0.6915,MATHEMATICS
2025,7,WIDA Level 1,1083,0.1053,21.5722,0.0065,MATHEMATICS
2025,7,WIDA Level 2,1259,0.0532,29.2578,0.0103,MATHEMATICS
2025,7,WIDA Level 3,2980,0.1979,49.305,0.0409,MATHEMATICS
2025,7,WIDA Level 4,859,0.0849,69.5412,0.0838,MATHEMATICS
2025,7,WIDA Level 4.3,1025,0.118,81.8489,0.2273,MATHEMATICS
2025,7,WIDA Level 5,199,0.2476,93.3603,0.5327,MATHEMATICS
2025,8,WIDA Level 1,1105,0.1203,20.9551,0.01,MATHEMATICS
2025,8,WIDA Level 2,1069,0.0184,30.5342,0.0234,MATHEMATICS
2025,8,WIDA Level 3,2549,0.1657,47.2032,0.0432,MATHEMATICS
2025,8,WIDA Level 4,883,0.0698,66.3683,0.1053,MATHEMATICS
2025,8,WIDA Level 4.3,1247,0.0966,76.9613,0.1957,MATHEMATICS
2025,8,WIDA Level 5,289,0.1576,89.2672,0.4775,MATHEMATICS
2026,3,WIDA Level 1,936,0.0952,13.8509,0,MATHEMATICS
2026,3,WIDA Level 2,1312,0.075,22.0454,0,MATHEMATICS
2026,3,WIDA Level 3,4226,0.2296,45.35,0,MATHEMATICS
2026,3,WIDA Level 4,1210,0.0652,64.6143,0,MATHEMATICS
2026,3,WIDA Level 4.3,1817,0.1392,78.4999,0,MATHEMATICS
2026,3,WIDA Level 5,472,0.0579,88.4543,0,MATHEMATICS
2026,3,WIDA Level 6,112,0.0857,94.4428,0,MATHEMATICS
2026,4,WIDA Level 1,489,0.1465,10.3653,0,MATHEMATICS
2026,4,WIDA Level 2,547,0.0376,15.8034,0,MATHEMATICS
2026,4,WIDA Level 3,1762,0.152,28.2124,0,MATHEMATICS
2026,4,WIDA Level 4,1092,0.0775,43.0702,0,MATHEMATICS
2026,4,WIDA Level 4.3,2697,0.1504,59.8426,0,MATHEMATICS
2026,4,WIDA Level 5,1641,0.1631,77.3549,0,MATHEMATICS
2026,4,WIDA Level 6,285,0.1419,91.238,0,MATHEMATICS
2026,5,WIDA Level 1,580,0.081,17.8485,0,MATHEMATICS
2026,5,WIDA Level 2,562,0.0429,25.2292,0,MATHEMATICS
2026,5,WIDA Level 3,1806,0.1346,34.5915,0,MATHEMATICS
2026,5,WIDA Level 4,992,0.0823,47.1151,0,MATHEMATICS
2026,5,WIDA Level 4.3,2131,0.1247,62.1933,0,MATHEMATICS
2026,5,WIDA Level 5,1243,0.1261,79.1116,0,MATHEMATICS
2026,5,WIDA Level 6,103,0.1153,90.887,0,MATHEMATICS
