YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,ilearn_pctile_sd,ilearn_floor_share,p_ilearn_proficient,suppress
2025,4,WIDA Level 2,1013,0.0662,19.3078,15.1942,0.1382,0,FALSE
2025,4,WIDA Level 3,2296,0.2155,32.9506,21.5098,0.064,0.0144,FALSE
2025,4,WIDA Level 4,1044,0.095,51.8013,22.278,0.0172,0.0632,FALSE
2025,4,WIDA Level 4.3,2414,0.1712,66.5814,21.1042,0.005,0.1848,FALSE
2025,4,WIDA Level 5,1379,0.1798,84.0716,16.5297,0,0.4982,FALSE
2025,4,WIDA Level 6,272,0.1858,94.1473,10.4991,0,0.8051,FALSE
2025,5,WIDA Level 1,880,0.0014,16.5131,14.2411,0.167,0,FALSE
2025,5,WIDA Level 2,854,0.0726,21.7122,17.0676,0.1382,0.0012,FALSE
2025,5,WIDA Level 3,1965,0.1934,35.519,21.7657,0.0575,0.0087,FALSE
2025,5,WIDA Level 4,872,0.0662,52.165,22.4445,0.0103,0.0436,FALSE
2025,5,WIDA Level 4.3,2135,0.1426,68.2049,22.1266,0.0075,0.1241,FALSE
2025,5,WIDA Level 5,1183,0.1484,83.1498,18.1362,0.0017,0.3085,FALSE
2025,5,WIDA Level 6,193,0.2062,94.507,12.8422,0,0.6684,FALSE
2025,6,WIDA Level 1,846,0.0275,16.3873,15.4669,0.1726,0,FALSE
2025,6,WIDA Level 2,1290,0.1113,25.289,19.4122,0.0984,0,FALSE
2025,6,WIDA Level 3,3109,0.2428,54.1185,23.8975,0.0232,0.0273,FALSE
2025,6,WIDA Level 4,814,0.0813,76.1488,21.021,0.0025,0.1314,FALSE
2025,6,WIDA Level 4.3,762,0.1277,87.0592,17.3138,0.0013,0.3386,FALSE
2025,6,WIDA Level 5,94,0.2054,97.4819,7.4212,0,0.7021,FALSE
2025,7,WIDA Level 1,1084,0.0356,18.7197,15.538,0.1476,0,FALSE
2025,7,WIDA Level 2,1261,0.1093,25.5728,19.8093,0.1063,8e-04,FALSE
2025,7,WIDA Level 3,2985,0.2221,52.0957,23.9713,0.0235,0.0178,FALSE
2025,7,WIDA Level 4,861,0.104,71.8329,21.1971,0.007,0.0859,FALSE
2025,7,WIDA Level 4.3,1025,0.1425,84.0836,16.7177,0.001,0.2127,FALSE
2025,7,WIDA Level 5,199,0.2379,95.2426,10.9363,0,0.6131,FALSE
2025,8,WIDA Level 1,1108,0.0244,17.6204,15.0546,0.1471,9e-04,FALSE
2025,8,WIDA Level 2,1072,0.0852,26.8528,20.3329,0.0905,0.0056,FALSE
2025,8,WIDA Level 3,2550,0.2264,48.7858,23.6613,0.0361,0.0306,FALSE
2025,8,WIDA Level 4,889,0.0862,69.0928,20.9581,0.0034,0.1147,FALSE
2025,8,WIDA Level 4.3,1248,0.1316,80.8653,18.5334,0.0024,0.2748,FALSE
2025,8,WIDA Level 5,289,0.1648,91.9051,12.6769,0,0.5917,FALSE
2026,3,WIDA Level 1,938,0.1372,11.3738,11.7326,0.2335,0,FALSE
2026,3,WIDA Level 2,1313,0.1259,19.1297,15.3285,0.1287,0,FALSE
2026,3,WIDA Level 3,4226,0.3104,44.7022,22.0132,0.023,0,FALSE
2026,3,WIDA Level 4,1210,0.0947,67.9849,18.703,0,0,FALSE
