cut,n_below,n_above,tau_below,tau_above,tau_gap,ilearn_prof_below,ilearn_prof_above,ilearn_pctile_below,ilearn_pctile_above,YEAR,GRADE,YEAR_STRATUM
5.5,3516,149,0.5191,0.2543,-0.2648,0.0546,0.5101,48.0292,93.0851,2018,5,istep_contrast
2,231,5475,0.14,0.4708,0.3307,0,0.1635,7.9026,51.6734,2017,3,istep_contrast
2.1,286,5420,0.1364,0.4659,0.3295,0,0.1651,7.9026,52.6722,2017,3,istep_contrast
2.2,320,5386,0.1269,0.4625,0.3356,0,0.1662,7.9026,52.6722,2017,3,istep_contrast
2.3,392,5314,0.1289,0.454,0.325,0,0.1684,8.3406,53.741,2017,3,istep_contrast
2.4,435,5271,0.1713,0.4502,0.2789,0,0.1698,9.7687,53.741,2017,3,istep_contrast
2.5,535,5171,0.1779,0.4407,0.2628,0,0.1731,10.2593,54.88,2017,3,istep_contrast
2.6,635,5071,0.1961,0.4315,0.2355,0,0.1765,11.5647,54.88,2017,3,istep_contrast
2.7,756,4950,0.2408,0.4231,0.1823,0,0.1808,13.0979,56.0364,2017,3,istep_contrast
2.8,868,4838,0.2363,0.4135,0.1772,0,0.185,13.7112,57.1842,2017,3,istep_contrast
2.9,1013,4693,0.2678,0.4073,0.1395,0.0049,0.1896,14.7801,58.3494,2017,3,istep_contrast
3,1136,4570,0.2616,0.3972,0.1356,0.0062,0.1943,16.2082,58.3494,2017,3,istep_contrast
3.1,1286,4420,0.2582,0.3849,0.1267,0.007,0.2005,16.8565,60.3995,2017,3,istep_contrast
3.2,1459,4247,0.2685,0.3717,0.1032,0.0089,0.2077,18.0918,61.4158,2017,3,istep_contrast
3.3,1665,4041,0.3035,0.3655,0.0619,0.0114,0.2168,19.5199,62.4058,2017,3,istep_contrast
3.4,2208,3498,0.3252,0.3366,0.0114,0.0222,0.2419,23.9092,66.1556,2017,3,istep_contrast
3.5,2208,3498,0.3252,0.3366,0.0114,0.0222,0.2419,23.9092,66.1556,2017,3,istep_contrast
3.6,2530,3176,0.3397,0.3205,-0.0192,0.0281,0.2594,26.9844,68.232,2017,3,istep_contrast
3.7,2890,2816,0.3592,0.3054,-0.0538,0.0332,0.2837,29.5952,70.1857,2017,3,istep_contrast
3.8,3251,2455,0.3714,0.2806,-0.0908,0.0424,0.3084,32.2323,72.9105,2017,3,istep_contrast
3.9,4004,1702,0.3999,0.2645,-0.1354,0.0659,0.3707,36.9371,77.2735,2017,3,istep_contrast
4,4004,1702,0.3999,0.2645,-0.1354,0.0659,0.3707,36.9371,77.2735,2017,3,istep_contrast
4.1,4351,1355,0.4115,0.2325,-0.179,0.0745,0.4214,39.7231,80.5677,2017,3,istep_contrast
4.2,4565,1141,0.4213,0.2184,-0.2029,0.0828,0.4531,40.7482,82.0834,2017,3,istep_contrast
4.3,4958,748,0.4422,0.1895,-0.2527,0.1017,0.5227,43.9723,85.3338,2017,3,istep_contrast
4.4,4958,748,0.4422,0.1895,-0.2527,0.1017,0.5227,43.9723,85.3338,2017,3,istep_contrast
4.5,5123,583,0.4536,0.2165,-0.2371,0.1118,0.5523,44.9448,86.5516,2017,3,istep_contrast
4.6,5260,446,0.46,0.1816,-0.2785,0.1192,0.6009,46.0224,88.8032,2017,3,istep_contrast
4.7,5377,329,0.4666,0.1334,-0.3332,0.1274,0.6383,47.0825,89.9071,2017,3,istep_contrast
4.8,5559,147,0.4807,0.0959,-0.3848,0.1412,0.7483,48.7121,93.4817,2017,3,istep_contrast
4.9,5559,147,0.4807,0.0959,-0.3848,0.1412,0.7483,48.7121,93.4817,2017,3,istep_contrast
5,5604,102,0.4852,0.1525,-0.3327,0.146,0.7549,48.7121,93.9548,2017,3,istep_contrast
5.1,5644,62,0.4891,0.0569,-0.4322,0.1499,0.7903,49.7109,94.4629,2017,3,istep_contrast
5.2,5669,37,0.4919,,,0.1528,,49.7109,,2017,3,istep_contrast
5.3,5690,16,0.4937,,,0.155,,49.7109,,2017,3,istep_contrast
5.4,5690,16,0.4937,,,0.155,,49.7109,,2017,3,istep_contrast
5.5,5699,,0.4947,,,0.156,,49.7109,,2017,3,istep_contrast
2,136,6103,0.1451,0.5311,0.386,0,0.1411,4.0946,51.4103,2018,4,istep_contrast
2.1,152,6087,0.1862,0.5296,0.3434,0,0.1414,4.2788,51.4103,2018,4,istep_contrast
2.2,165,6074,0.1789,0.5282,0.3493,0,0.1418,4.5513,51.4103,2018,4,istep_contrast
2.3,179,6060,0.1576,0.5266,0.3691,0,0.1421,4.5513,51.4103,2018,4,istep_contrast
2.4,199,6040,0.172,0.5252,0.3532,0.005,0.1424,4.8558,51.4103,2018,4,istep_contrast
2.5,228,6011,0.1539,0.522,0.3681,0.0044,0.1431,4.8558,51.4103,2018,4,istep_contrast
