YEAR,GRADE,WIDA_LEVEL,n,kendall,ilearn_pctile_median,p_ilearn_proficient
2025,8,WIDA Level 4.3,865,0.1662,81.651,0.3642
2025,8,WIDA Level 5,140,0.1579,93.6544,0.7
2026,3,WIDA Level 1,1164,0.172,12.7267,0
2026,3,WIDA Level 2,2217,0.2038,28.5293,0
2026,3,WIDA Level 3,3800,0.2711,57.1421,0
2026,3,WIDA Level 4,701,0.1066,77.1943,0
2026,3,WIDA Level 4.3,896,0.1578,86.2721,0
2026,3,WIDA Level 5,202,0.0815,93.1027,0
2026,4,WIDA Level 1,1071,0.1614,11.5349,0
2026,4,WIDA Level 2,1211,0.1264,23.4822,0
2026,4,WIDA Level 3,3344,0.2259,47.606,0
2026,4,WIDA Level 4,1063,0.1102,66.5521,0
2026,4,WIDA Level 4.3,1578,0.1432,78.299,0
2026,4,WIDA Level 5,444,0.1722,90.1088,0
2026,4,WIDA Level 6,18,,,
2026,5,WIDA Level 1,663,0.0773,9.9507,0
2026,5,WIDA Level 2,942,0.065,17.3205,0
2026,5,WIDA Level 3,2170,0.2371,34.5836,0
2026,5,WIDA Level 4,1001,0.0619,50.8546,0
2026,5,WIDA Level 4.3,2343,0.148,65.4852,0
2026,5,WIDA Level 5,1335,0.1881,82.1003,0
2026,5,WIDA Level 6,263,0.166,92.9571,0
2026,6,WIDA Level 1,785,0.1068,11.4278,0
2026,6,WIDA Level 2,782,0.1132,19.9401,0
2026,6,WIDA Level 3,1889,0.1721,35.5981,0
2026,6,WIDA Level 4,840,0.0596,52.9676,0
2026,6,WIDA Level 4.3,2065,0.1221,66.9595,0
2026,6,WIDA Level 5,1134,0.1715,82.0903,0
2026,6,WIDA Level 6,187,0.1125,92.991,0
2026,7,WIDA Level 1,758,0.1059,13.0128,0
2026,7,WIDA Level 2,1182,0.1691,25.2727,0
2026,7,WIDA Level 3,2971,0.2547,52.6348,0
2026,7,WIDA Level 4,781,0.0967,74.8733,0
2026,7,WIDA Level 4.3,729,0.1293,84.2833,0
2026,7,WIDA Level 5,83,0.1878,94.4922,0
2026,8,WIDA Level 1,960,0.148,12.4396,0
2026,8,WIDA Level 2,1195,0.1548,24.8437,0
2026,8,WIDA Level 3,2874,0.2056,52.6712,0
2026,8,WIDA Level 4,835,0.0362,71.1566,0
2026,8,WIDA Level 4.3,989,0.1033,81.9906,0
2026,8,WIDA Level 5,180,0.1816,90.2529,0
